Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Anthony Rendon,33,26,Maj-AL,Los Angeles,43,183,148,23,35,6,0,2,22,25,0,27,6,0,4,6,2,0,0.237,0.361,0.318,0.678,543685
Hunter Renfroe,31,0,Maj-AL,Los Angeles,98,403,367,48,94,25,0,17,47,31,0,86,2,0,3,13,0,0,0.256,0.315,0.463,0.778,592669
Luis Rengifo,26,0,Maj-AL,Los Angeles,91,304,267,38,61,9,3,9,32,32,0,60,3,0,2,3,5,4,0.229,0.316,0.386,0.702,650859
Franmil Reyes,27,91,Maj-AL,Kansas City,19,65,59,5,11,0,0,2,7,4,0,24,0,0,2,3,0,0,0.186,0.231,0.288,0.519,614177
Pablo Reyes,29,0,Maj-AL,Boston,29,73,67,9,20,4,0,0,9,4,0,10,0,1,1,1,1,1,0.299,0.333,0.358,0.692,622569
Bryan Reynolds,28,0,Maj-NL,Pittsburgh,91,394,353,48,91,21,3,12,49,32,0,80,4,0,5,9,8,0,0.258,0.322,0.436,0.759,668804
Matt Reynolds,32,89,Maj-NL,Cincinnati,2,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,608703
Austin Riley,26,0,Maj-NL,Atlanta,103,454,408,75,112,18,1,24,64,36,2,105,4,0,6,14,2,0,0.275,0.335,0.5,0.835,663586
Edwin Rios,29,57,Maj-NL,Chicago,18,34,28,3,2,1,0,1,2,5,0,16,1,0,0,0,0,0,0.071,0.235,0.214,0.45,621458
Alfonso Rivas,26,0,Maj-NL,San Diego,8,17,15,2,3,2,0,0,1,2,0,7,0,0,0,0,0,0,0.2,0.294,0.333,0.627,663845
Emmanuel Rivera,27,0,Maj-NL,Arizona,58,215,199,32,58,12,0,4,23,14,0,43,0,0,2,5,1,0,0.292,0.335,0.412,0.747,656896
Anthony Rizzo,33,0,Maj-AL,New York,97,413,365,45,89,14,0,12,41,35,1,95,12,0,1,10,0,3,0.244,0.329,0.381,0.71,519203
Luis Robert Jr.,25,0,Maj-AL,Chicago,104,439,401,70,108,29,0,29,60,22,4,128,10,0,1,8,12,2,0.269,0.323,0.559,0.881,673357
Victor Robles,26,40,Maj-NL,Washington,36,126,107,15,32,5,1,0,8,11,0,18,4,4,0,3,8,1,0.299,0.385,0.365,0.75,645302
Brayan Rocchio,22,58,Maj-AL,Cleveland,4,14,14,0,3,0,0,0,1,0,0,1,0,0,0,2,0,0,0.214,0.214,0.214,0.429,677587
Endy Rodr\xc3\xadguez,23,0,Maj-NL,Pittsburgh,12,39,36,5,8,2,1,1,5,3,0,14,0,0,0,0,0,0,0.222,0.282,0.417,0.699,682848
Jos\xc3\xa9 Rodriguez,22,40,Maj-AL,Chicago,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,679563
Julio Rodr\xc3\xadguez,22,0,Maj-AL,Seattle,102,466,426,62,107,21,1,17,55,33,1,120,7,0,0,12,24,5,0.251,0.316,0.425,0.74,677594
Jake Rogers,28,0,Maj-AL,Detroit,69,226,200,31,43,9,0,12,30,23,0,75,1,1,1,2,0,1,0.215,0.298,0.44,0.738,668670
Johan Rojas,22,0,Maj-NL,Philadelphia,10,25,23,3,8,0,0,0,4,0,0,5,0,2,0,0,3,0,0.348,0.348,0.348,0.696,679032
Josh Rojas,29,0,Maj-NL,Arizona,59,216,189,23,43,13,0,0,26,18,0,51,1,2,4,2,6,0,0.228,0.293,0.296,0.589,668942
Miguel Rojas,34,0,Maj-NL,Los Angeles,77,266,243,29,53,11,0,0,12,18,0,33,2,0,3,5,7,1,0.218,0.274,0.263,0.538,500743
Brent Rooker,28,0,Maj-AL,Oakland,87,337,290,35,72,13,1,17,47,35,1,104,8,0,4,10,2,0,0.248,0.341,0.476,0.817,667670
Ben Rortvedt,25,2,Maj-AL,New York,8,15,13,2,2,1,0,0,1,2,0,4,0,0,0,0,0,0,0.154,0.267,0.231,0.498,666163
Amed Rosario,27,0,"Maj-AL,Maj-NL","Cleveland,Los Angeles",96,417,390,52,105,20,6,3,41,22,0,77,2,0,3,12,9,0,0.269,0.309,0.374,0.684,642708
Eddie Rosario,31,0,Maj-NL,Atlanta,91,331,309,41,77,16,2,16,48,21,1,84,0,0,1,9,1,3,0.249,0.296,0.469,0.765,592696
Darin Ruf,36,58,Maj-NL,"Milwaukee,San Francisco",20,57,49,3,11,3,0,0,3,8,0,16,0,0,0,0,0,0,0.225,0.333,0.286,0.619,573131
Esteury Ruiz,24,25,Maj-AL,Oakland,85,369,334,33,86,19,1,1,35,14,1,68,12,3,1,4,43,8,0.258,0.31,0.329,0.64,665923
Keibert Ruiz,24,0,Maj-NL,Washington,86,357,330,30,81,14,0,11,39,20,0,33,5,0,2,11,1,1,0.246,0.297,0.388,0.685,660688
Adley Rutschman,25,0,Maj-AL,Baltimore,100,444,379,52,103,17,0,14,47,62,5,69,1,0,2,9,0,1,0.272,0.374,0.427,0.801,668939
Blake Sabol,25,0,Maj-NL,San Francisco,77,252,230,29,58,8,0,11,35,16,0,88,3,1,2,4,2,2,0.252,0.307,0.43,0.737,666165
C\xc3\xa9sar Salazar,27,41,Maj-AL,Houston,13,19,18,1,2,0,0,0,0,1,0,6,0,0,0,1,0,0,0.111,0.158,0.111,0.269,663967
