last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Canning, Griffin,656288,2023,357,237,0.245,0.236,0.009,0.436,0.415,0.021,0.32,0.312,0.008,4.46,4.05,0.415
Seabold, Connor,657756,2023,356,265,0.297,0.267,0.0299999999999999,0.549,0.477,0.072,0.381,0.348,0.033,6.95,5.17,1.783
Rodriguez, Eduardo,593958,2023,352,238,0.216,0.234,-0.018,0.333,0.376,-0.0429999999999999,0.262,0.29,-0.0279999999999999,2.96,3.46,-0.505
Wentz, Joey,666214,2023,349,245,0.285,0.274,0.0109999999999999,0.497,0.487,0.01,0.363,0.358,0.005,6.37,5.53,0.837
France, J.P.,641585,2023,348,265,0.248,0.258,-0.01,0.376,0.424,-0.0479999999999999,0.295,0.322,-0.027,2.87,4.34,-1.47
Allen, Logan,671106,2023,347,237,0.26,0.26,0.0,0.422,0.434,-0.012,0.325,0.33,-0.005,3.7,4.59,-0.893
Gonsolin, Tony,664062,2023,345,237,0.204,0.252,-0.048,0.351,0.441,-0.09,0.286,0.338,-0.052,4.25,4.84,-0.594
Wacha, Michael,608379,2023,343,243,0.212,0.245,-0.033,0.364,0.42,-0.0559999999999999,0.279,0.317,-0.0379999999999999,2.84,4.2,-1.363
Urías, Julio,628711,2023,341,239,0.255,0.248,0.007,0.477,0.438,0.0389999999999999,0.329,0.316,0.013,4.98,4.17,0.81
Pivetta, Nick,601713,2023,340,201,0.203,0.227,-0.0239999999999999,0.383,0.417,-0.0339999999999999,0.295,0.319,-0.024,4.11,4.25,-0.139
Suárez, Ranger,624133,2023,338,236,0.27,0.264,0.006,0.418,0.419,-0.001,0.325,0.327,-0.002,4.21,4.49,-0.275
Lugo, Seth,607625,2023,338,241,0.257,0.261,-0.004,0.417,0.443,-0.026,0.308,0.321,-0.013,3.62,4.31,-0.688
Medina, Luis,665622,2023,334,220,0.255,0.236,0.019,0.466,0.396,0.07,0.346,0.318,0.0279999999999999,5.35,4.23,1.122
Bradley, Taj,671737,2023,330,204,0.264,0.248,0.016,0.472,0.429,0.0429999999999999,0.338,0.323,0.015,5.67,4.37,1.295
Bielak, Brandon,656232,2023,328,232,0.272,0.267,0.005,0.462,0.458,0.004,0.355,0.353,0.002,3.74,5.35,-1.613
Irvin, Jake,663623,2023,327,229,0.26,0.25,0.01,0.432,0.454,-0.022,0.337,0.345,-0.0079999999999999,4.96,5.07,-0.106
Megill, Tylor,656731,2023,327,225,0.284,0.284,0.0,0.426,0.476,-0.0499999999999999,0.355,0.373,-0.018,5.17,6.09,-0.917
Carrasco, Carlos,471911,2023,323,234,0.295,0.289,0.006,0.495,0.493,0.002,0.376,0.375,0.001,6.4,6.17,0.228
